LEAGUE	Player	win%	O/U	line #	stat	win:lose ratio
NBA	Theo Maledon	0.7674418604651163	UNDER	4.5	trb	3.3000000000000003
NBA	Jock Landale	0.7647058823529411	UNDER	0.5	stl	3.25
NBA	Immanuel Quickley	0.7625	UNDER	4.5	ast	3.2105263157894735
NBA	Josh Okogie	0.7183098591549296	UNDER	5	trb	3.1875
NBA	Jalen Duren	0.7575757575757576	UNDER	12.5	pts	3.125
NBA	Jalen Duren	0.7575757575757576	UNDER	14.5	pts+ast	3.125
NBA	Quentin Grimes	0.7571428571428571	UNDER	18.5	pts+trb	3.1176470588235294
NBA	Quentin Grimes	0.7571428571428571	UNDER	21.5	pts+trb+ast	3.1176470588235294
NBA	Alperen Sengun	0.7567567567567568	UNDER	15.5	trb+ast	3.111111111111111
NBA	Bryce McGowens	0.7555555555555555	UNDER	0.5	stl	3.090909090909091
NBA	Bryce McGowens	0.7555555555555555	UNDER	3.5	trb	3.090909090909091
NBA	Cory Joseph	0.7540983606557377	UNDER	2.5	trb	3.0666666666666664
NBA	Jaden Ivey	0.7534246575342466	UNDER	11.5	trb+ast	3.055555555555556
NBA	Svi Mykhailiuk	0.75	UNDER	16.5	pts	3.0
NBA	Svi Mykhailiuk	0.75	UNDER	21.5	pts+ast	3.0
NBA	Svi Mykhailiuk	0.75	UNDER	20.5	pts+trb	3.0
NBA	Svi Mykhailiuk	0.75	UNDER	24.5	pts+trb+ast	3.0
NBA	Svi Mykhailiuk	0.75	UNDER	3.5	trb	3.0
NBA	Svi Mykhailiuk	0.75	UNDER	8.5	trb+ast	3.0
NBA	Jordan Goodwin	0.9672131147540983	UNDER	6.5	ast	29.499999999999996
NBA	Sam Hauser	0.9620253164556962	UNDER	24.5	pts+trb+ast	25.333333333333332
NBA	Raul Neto	0.9574468085106383	UNDER	5.5	ast	22.5
NBA	JT Thor	0.9558823529411765	UNDER	11.5	pts	21.666666666666668
NBA	Jock Landale	0.9558823529411765	UNDER	17.5	pts+ast	21.666666666666668
NBA	Jock Landale	0.9558823529411765	UNDER	23.5	pts+trb	21.666666666666668
NBA	Jock Landale	0.9558823529411765	UNDER	11.5	trb+ast	21.666666666666668
NBA	Bryce McGowens	0.9555555555555556	UNDER	15.5	pts+trb	21.5
NBA	Bryce McGowens	0.9555555555555556	UNDER	18.5	pts+trb+ast	21.5
NBA	Bryce McGowens	0.9333333333333333	UNDER	12	pts	21.0
NBA	Obi Toppin	0.9545454545454546	UNDER	20.5	pts+trb	21.0
NBA	Theo Maledon	0.9534883720930233	UNDER	16.5	pts	20.5
NBA	Kris Dunn	0.9523809523809523	UNDER	16	trb+ast	20.0
NBA	Immanuel Quickley	0.7	UNDER	9	trb+ast	2.9473684210526314
NBA	Dean Wade	0.7441860465116279	UNDER	4.5	trb	2.9090909090909087
NBA	Evan Mobley	0.7435897435897436	OVER	12.5	pts	2.9000000000000004
